Fixed Point: 032c82ec032c82ec032c82ec032c82ec | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: a24bbceca24bbceca24bbceca24bbcec | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 5afa5afa5afa5afa5afa5afa5afa5afa | Rounds: 10 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: a99aacfea99aacfea99aacfea99aacfe | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 00000000000000000000000000000000 | Rounds: 38 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: ca930600ca930600ca930600ca930600 | Rounds: 40 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: 61331701613317016133170161331701 | Rounds: 20 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: 7c2f97017c2f97017c2f97017c2f9701 | Rounds: 40 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: 02020202020202020202020202020202 | Rounds: 38 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: 18cc760218cc760218cc760218cc7602 | Rounds: 20 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: 31043104310431043104310431043104 | Rounds: 2 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: 79e0650479e0650479e0650479e06504 | Rounds: 28 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: 21d4d50421d4d50421d4d50421d4d504 | Rounds: 20 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: 521e5f06521e5f06521e5f06521e5f06 | Rounds: 10 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: 00ca930600ca930600ca930600ca9306 | Rounds: 40 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: e4485609e4485609e4485609e4485609 | Rounds: 20 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: b06a5809b06a5809b06a5809b06a5809 | Rounds: 40 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: 6a22310c6a22310c6a22310c6a22310c | Rounds: 28 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: a10ca10ca10ca10ca10ca10ca10ca10c | Rounds: 14 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: b2a7d80cb2a7d80cb2a7d80cb2a7d80c | Rounds: 28 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: afe74f0dafe74f0dafe74f0dafe74f0d | Rounds: 20 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: cb0dcb0dcb0dcb0dcb0dcb0dcb0dcb0d | Rounds: 5 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: 0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e | Rounds: 38 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: ad60f60ead60f60ead60f60ead60f60e | Rounds: 10 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: b1648d0fb1648d0fb1648d0fb1648d0f | Rounds: 20 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: f59bf111f59bf111f59bf111f59bf111 | Rounds: 40 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: 12121212121212121212121212121212 | Rounds: 47 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: 92486012924860129248601292486012 | Rounds: 40 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: 13131313131313131313131313131313 | Rounds: 47 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: fcf0da13fcf0da13fcf0da13fcf0da13 | Rounds: 40 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
Fixed Point: 15151515151515151515151515151515 | Rounds: 47 | Key: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
