Fixed Point: 89898989898989898989898989898989 | Rounds: 12 | Key: 61616161616161616161616161616161
Fixed Point: 66f8328a66f8328a66f8328a66f8328a | Rounds: 23 | Key: 61616161616161616161616161616161
Fixed Point: 478b478b478b478b478b478b478b478b | Rounds: 18 | Key: 61616161616161616161616161616161
Fixed Point: 8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f | Rounds: 16 | Key: 61616161616161616161616161616161
Fixed Point: 1bc136931bc136931bc136931bc13693 | Rounds: 28 | Key: 61616161616161616161616161616161
Fixed Point: 842b6494842b6494842b6494842b6494 | Rounds: 46 | Key: 61616161616161616161616161616161
Fixed Point: f4fd0a98f4fd0a98f4fd0a98f4fd0a98 | Rounds: 31 | Key: 61616161616161616161616161616161
Fixed Point: a55d019aa55d019aa55d019aa55d019a | Rounds: 11 | Key: 61616161616161616161616161616161
Fixed Point: 9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d | Rounds: 24 | Key: 61616161616161616161616161616161
Fixed Point: 47eb7aa147eb7aa147eb7aa147eb7aa1 | Rounds: 28 | Key: 61616161616161616161616161616161
Fixed Point: 2ee470a42ee470a42ee470a42ee470a4 | Rounds: 6 | Key: 61616161616161616161616161616161
Fixed Point: 7ef8e9a47ef8e9a47ef8e9a47ef8e9a4 | Rounds: 48 | Key: 61616161616161616161616161616161
Fixed Point: 5d019aa55d019aa55d019aa55d019aa5 | Rounds: 11 | Key: 61616161616161616161616161616161
Fixed Point: a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7 | Rounds: 36 | Key: 61616161616161616161616161616161
Fixed Point: 25a825a825a825a825a825a825a825a8 | Rounds: 50 | Key: 61616161616161616161616161616161
Fixed Point: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8 | Rounds: 43 | Key: 61616161616161616161616161616161
Fixed Point: 2fad2fad2fad2fad2fad2fad2fad2fad | Rounds: 48 | Key: 61616161616161616161616161616161
Fixed Point: 7aad7aad7aad7aad7aad7aad7aad7aad | Rounds: 19 | Key: 61616161616161616161616161616161
Fixed Point: 3b5ae7b03b5ae7b03b5ae7b03b5ae7b0 | Rounds: 48 | Key: 61616161616161616161616161616161
Fixed Point: c961d3b2c961d3b2c961d3b2c961d3b2 | Rounds: 31 | Key: 61616161616161616161616161616161
