Fixed Point: 69324d7669324d7669324d7669324d76 | Rounds: 4 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 94769476947694769476947694769476 | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 77777777777777777777777777777777 | Rounds: 22 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: d1648c7dd1648c7dd1648c7dd1648c7d | Rounds: 6 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: cd96d87dcd96d87dcd96d87dcd96d87d | Rounds: 28 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 407e407e407e407e407e407e407e407e | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: d07ed07ed07ed07ed07ed07ed07ed07e | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 2e7f2e7f2e7f2e7f2e7f2e7f2e7f2e7f | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: c9325180c9325180c9325180c9325180 | Rounds: 4 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 65816581658165816581658165816581 | Rounds: 20 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 46526f8146526f8146526f8146526f81 | Rounds: 28 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 4a824a824a824a824a824a824a824a82 | Rounds: 20 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: ac83ac83ac83ac83ac83ac83ac83ac83 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: bcbe2584bcbe2584bcbe2584bcbe2584 | Rounds: 28 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 2b842b842b842b842b842b842b842b84 | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: d7285884d7285884d7285884d7285884 | Rounds: 6 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 70847084708470847084708470847084 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 06850685068506850685068506850685 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 85858585858585858585858585858585 | Rounds: 12 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 8b858b858b858b858b858b858b858b85 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 2f862f862f862f862f862f862f862f86 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 689f7187689f7187689f7187689f7187 | Rounds: 4 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: e5ec5288e5ec5288e5ec5288e5ec5288 | Rounds: 4 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 89898989898989898989898989898989 | Rounds: 12 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 378a378a378a378a378a378a378a378a | Rounds: 20 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: ce8ace8ace8ace8ace8ace8ace8ace8a | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: f49c488bf49c488bf49c488bf49c488b | Rounds: 28 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 858b858b858b858b858b858b858b858b | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 7dd1648c7dd1648c7dd1648c7dd1648c | Rounds: 6 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 0e8d0e8d0e8d0e8d0e8d0e8d0e8d0e8d | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: db8ddb8ddb8ddb8ddb8ddb8ddb8ddb8d | Rounds: 8 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: ad8ead8ead8ead8ead8ead8ead8ead8e | Rounds: 8 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 5d60c58e5d60c58e5d60c58e5d60c58e | Rounds: 6 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 4a8f4a8f4a8f4a8f4a8f4a8f4a8f4a8f | Rounds: 20 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f | Rounds: 21 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: cc8fcc8fcc8fcc8fcc8fcc8fcc8fcc8f | Rounds: 11 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 59905990599059905990599059905990 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
