Fixed Point: b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6 | Rounds: 44 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7 | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 31b831b831b831b831b831b831b831b8 | Rounds: 17 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 91b891b891b891b891b891b891b891b8 | Rounds: 8 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8 | Rounds: 35 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: a1baa1baa1baa1baa1baa1baa1baa1ba | Rounds: 13 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1 | Rounds: 20 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 5ac35ac35ac35ac35ac35ac35ac35ac3 | Rounds: 41 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 65020cc765020cc765020cc765020cc7 | Rounds: 26 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: abc9abc9abc9abc9abc9abc9abc9abc9 | Rounds: 22 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: ebd2ebd2ebd2ebd2ebd2ebd2ebd2ebd2 | Rounds: 23 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 30601bd330601bd330601bd330601bd3 | Rounds: 33 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 16d416d416d416d416d416d416d416d4 | Rounds: 14 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 4dd44dd44dd44dd44dd44dd44dd44dd4 | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4 | Rounds: 43 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 36d536d536d536d536d536d536d536d5 | Rounds: 6 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 90d790d790d790d790d790d790d790d7 | Rounds: 19 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7 | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 25d825d825d825d825d825d825d825d8 | Rounds: 49 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: a4d9a4d9a4d9a4d9a4d9a4d9a4d9a4d9 | Rounds: 41 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: dadadadadadadadadadadadadadadada | Rounds: 13 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: dddddddddddddddddddddddddddddddd | Rounds: 25 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2 | Rounds: 24 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 1816e9e61816e9e61816e9e61816e9e6 | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: e61816e9e61816e9e61816e9e61816e9 | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: d2ebd2ebd2ebd2ebd2ebd2ebd2ebd2eb | Rounds: 23 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 5bed5bed5bed5bed5bed5bed5bed5bed | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 80f180f180f180f180f180f180f180f1 | Rounds: 46 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1 | Rounds: 21 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 93f988f293f988f293f988f293f988f2 | Rounds: 48 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 611874f3611874f3611874f3611874f3 | Rounds: 8 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
