Fixed Point: ebebebebebebebebebebebebebebebeb | Rounds: 30 | Key: 21212121212121212121212121212121
Fixed Point: edededededededededededededededed | Rounds: 35 | Key: 21212121212121212121212121212121
Fixed Point: efefefefefefefefefefefefefefefef | Rounds: 35 | Key: 21212121212121212121212121212121
Fixed Point: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0 | Rounds: 32 | Key: 21212121212121212121212121212121
Fixed Point: 4ef14ef14ef14ef14ef14ef14ef14ef1 | Rounds: 6 | Key: 21212121212121212121212121212121
Fixed Point: 19f419f419f419f419f419f419f419f4 | Rounds: 13 | Key: 21212121212121212121212121212121
Fixed Point: a1f9a1f9a1f9a1f9a1f9a1f9a1f9a1f9 | Rounds: 30 | Key: 21212121212121212121212121212121
Fixed Point: fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc | Rounds: 31 | Key: 21212121212121212121212121212121
Fixed Point: d7928101d7928101d7928101d7928101 | Rounds: 38 | Key: 22222222222222222222222222222222
Fixed Point: 02020202020202020202020202020202 | Rounds: 34 | Key: 22222222222222222222222222222222
Fixed Point: 49b0830249b0830249b0830249b08302 | Rounds: 20 | Key: 22222222222222222222222222222222
Fixed Point: def3e402def3e402def3e402def3e402 | Rounds: 24 | Key: 22222222222222222222222222222222
Fixed Point: 72037203720372037203720372037203 | Rounds: 43 | Key: 22222222222222222222222222222222
Fixed Point: 4030e2034030e2034030e2034030e203 | Rounds: 44 | Key: 22222222222222222222222222222222
Fixed Point: 06060606060606060606060606060606 | Rounds: 24 | Key: 22222222222222222222222222222222
